제품명,성분명,코드
임팩타민파워에이플러스정 50mg/병,벤포티아민|리보플라빈|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민1000배산|콜린타르타르산염|이노시톨|비오틴|폴산|베타카로틴20%과립|농축콜레칼시페롤분말|경질산화마그네슘|무수인산수소칼슘|산화아연,K-037043
스카풀라정 25mg/PTP,클로르족사존|에텐자미드|카페인수화물,K-028623
오메코정 500mg/PTP,아세트아미노펜|클로르페니라민말레산염|슈도에페드린염산염,K-008902
바스크롱캡슐 46.67mg/PTP,노스카핀|dl-메틸에페드린염산염|카르비녹사민말레산염|구아야콜설폰산칼륨|덱스트로메토르판브롬화수소산염수화물,K-010530
엘도테인정(에르도스테인),에르도스테인,K-050144
이부플러스생정 200mg/PTP,이부프로펜|감초|육계|작약|생강,K-029251
알캔다졸정 400mg/PTP,알벤다졸,K-052637
센티렉스실버어드밴스정 518.55mg/병,,K-037500
타스나정 500mg/PTP,탄산수소나트륨,K-009852
사리돈에이정 250mg/PTP,아세트아미노펜|이소프로필안티피린|카페인무수물,K-019843
슈리머정 200mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-038622
오큐바이트프리저비전정 200mg/병,토코페롤아세테이트 2배산|β-카로틴10%|아스코르브산 과립90%|산화제이구리|산화아연,K-018203
동화엘텐정(에르도스테인),에르도스테인,K-045067
소겐큐정 50mg/PTP,시메티딘|규산알루민산마그네슘|히드로탈시트|탄산수소나트륨,K-052486
기넥신에프정240mg/병,은행엽건조엑스,K-053357
아겐에프정(빌베리건조엑스),빌베리건조엑스,K-040265
유로펜정 416.7mg/PTP,지황|당귀|목통|황금|택사|차전자|감초|치자|용담|육계|생강|대황|마황|연교,K-011442
지펜정 300mg,덱시부프로펜,K-011780
마그밀정(수산화마그네슘),수산화마그네슘,K-000250
알러딘정(펙소페나딘염산염),펙소페나딘염산염,K-023933
하벤코정 500mg/PTP,아세트아미노펜|수도에페드린염산염|클로르페니라민말레산염,K-034582
엑스콜노즈정 600mg/포,소청룡탕연조엑스|아세트아미노펜|클로르페니라민말레산염|티페피딘히벤즈산염|카페인무수물|티아민질산염|리보플라빈|제피아스코르브산,K-044921
크로아존정 300mg/PTP,클로르족사존|아세트아미노펜,K-033059
메가트루골드정 25mg/병,,K-031974
푸러펜정 300mg/PTP,클로르족사존|아세트아미노펜,K-032607
